time	V(vs)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-09	5.000983e-06
3.128215716679910e-06	3.068678e-02
6.255431433359819e-06	6.049984e-02
9.382647150039729e-06	8.944420e-02
1.250986286671964e-05	1.175199e-01
1.563707858339955e-05	1.447268e-01
1.876429430007946e-05	1.710650e-01
2.189151001675936e-05	1.965345e-01
2.775088501675936e-05	2.422613e-01
3.556338501675937e-05	2.984926e-01
4.337588501675939e-05	3.511802e-01
5.118838501675940e-05	4.003240e-01
5.900088501675941e-05	4.459242e-01
6.681338501675941e-05	4.879805e-01
7.462588501675943e-05	5.264932e-01
8.243838501675941e-05	5.614622e-01
9.164597430247371e-05	5.993881e-01
1.008535635881880e-04	6.345935e-01
1.100611528739023e-04	6.670783e-01
1.192687421596166e-04	6.968427e-01
1.284763314453309e-04	7.238865e-01
1.376839207310452e-04	7.482097e-01
1.468915100167595e-04	7.698125e-01
1.560990993024738e-04	7.897197e-01
1.653066885881881e-04	8.081989e-01
1.745142778739024e-04	8.252502e-01
1.837218671596167e-04	8.408734e-01
1.929294564453310e-04	8.550686e-01
2.021370457310453e-04	8.678358e-01
2.113446350167595e-04	8.791751e-01
2.205522243024738e-04	8.896243e-01
2.297598135881881e-04	8.993240e-01
2.389674028739024e-04	9.082742e-01
2.481749921596167e-04	9.164748e-01
2.573825814453310e-04	9.239258e-01
2.665901707310453e-04	9.306273e-01
2.757977600167596e-04	9.365792e-01
2.850053493024739e-04	9.420641e-01
2.942129385881882e-04	9.471554e-01
3.034205278739025e-04	9.518534e-01
3.126281171596168e-04	9.561578e-01
3.218357064453311e-04	9.600689e-01
3.310432957310454e-04	9.635864e-01
3.402508850167596e-04	9.667106e-01
3.497374921596168e-04	9.696699e-01
3.592240993024740e-04	9.724121e-01
3.687107064453311e-04	9.749370e-01
3.781973135881883e-04	9.772447e-01
3.876839207310454e-04	9.793352e-01
3.971705278739025e-04	9.812084e-01
4.066571350167597e-04	9.828644e-01
4.167017778739026e-04	9.844698e-01
4.267464207310454e-04	9.859521e-01
4.367910635881883e-04	9.873114e-01
4.468357064453312e-04	9.885475e-01
4.568803493024740e-04	9.896606e-01
4.669249921596169e-04	9.906506e-01
